Longitud,Latitud,Frecuencia,Amplitud,MSK,Lugar,Rrup [km],R [km],Rhyp [km],Rasp [km],Rasp max [km],Rasp pond slip [km],Period,Rp [km]
-71.08,-34.44,0.49,4.08,7.0,SanVicenteTagua-tagua,67.64954703049385,72.11669110456063,255.43785474394807,156.00050954846895,156.0005110838446,235.41319241607135,-1,120.5543264106316
-71.16,-34.87,2.49,1.97,7.0,Teno,69.66146556989061,74.00512527232615,219.91036716670072,137.81043532401284,137.81043685674737,208.24553518173056,-1,126.17844942178692
-71.31,-34.93,1.25023,2.723,7.0,Rauco,64.17469336934931,68.865195127324,204.95757573807114,123.96067355562352,123.96067492859814,194.3484122024404,-1,113.67669479817144
-71.81,-34.98,2.86722,3.601,7.0,Hualane,45.82282209969165,52.18958994314289,166.23844695932846,79.46426221221074,79.46426304737055,154.65703042970333,-1,79.9542237118996
-71.28,-35.11,0.25003,2.212,7.0,Molina,69.96293154597535,74.28888980591648,196.48711045859923,127.60984804603119,127.60984942822698,191.57481985208005,-1,121.85471739056803
-71.27,-35.28,3.54,4.33,7.0,Cumpeo,77.30433835991437,81.24161543092306,188.59811939930404,132.18621858645795,132.1862199292142,189.48105643910165,-1,130.04813957337592
-71.81,-35.34,2.9339,4.572,7.0,Pencahue,53.66921584765211,59.19930106034437,142.48643973949342,89.90581932993967,89.9058200552255,148.7810267047326,-1,92.45690377244557
-71.58,-35.55,2.13,4.36,7.0,Bobadilla,67.46896988058018,71.94520835605947,151.56179896797445,119.17644227496491,119.1764431563335,165.72145732558016,-1,118.53604330392722
-72.27,-35.59,2.90056,3.654,7.0,Empedrado,41.955882505779414,48.82971684775315,93.48931198042493,81.17420470038097,81.17420485991721,125.21421815196548,-1,74.83192097690727
-72.52,-35.73,1.91703,2.981,7.0,Chanco,37.90004116713145,45.39272689499754,67.42455203333232,89.33032644299247,89.33032645880377,120.45042453779364,-1,65.05999309907043
-71.77,-36.03,0.38339,3.277,7.0,Retiro,68.1711610091894,72.60430466558944,126.68309252686069,144.7538453094793,144.75384578753793,163.40817945733414,-1,119.40843443842076
-72.78,-36.13,6.80134,3.892,7.0,Cobquecura,35.680447974949814,43.55610706800758,43.89351964711151,120.71957945782589,132.59823862565506,128.0151490741815,-1,62.86172097758533
-72.55,-36.28,2.91723,5.004,7.0,Quirihue,44.46551699908568,51.002092806348244,67.55246459967603,121.70460931831482,148.69334494894372,138.28040268343926,-1,75.20418175644045
-72.4,-36.39,2.57,3.13,7.0,Ninhue,50.09052745637457,55.97398023226276,84.61312129743568,124.60706128274647,162.03646879365905,147.59524912346384,-1,85.60769888367702
-71.96,-36.42,0.34,1.63,7.0,SanCarlos,65.54100362406493,70.14069120111782,119.8985481285373,156.85439110184902,175.1263993585737,168.07659259733708,-1,115.67534762846581
-72.95,-36.62,2.68385,2.439,7.0,Tome,35.82623811758618,43.67604197576834,76.84012077522645,71.58356286148985,187.87760019846064,143.00839574466372,-1,63.6250807074663
-72.29,-36.74,1.12,3.67,7.0,Bulnes,59.436428460126045,64.47362118516999,116.65327878213617,117.34085191706282,201.6043734297473,169.09335856658973,-1,102.60044090719154
-73.0,-36.74,2.6005,3.156,7.0,Penco,36.32666148617275,44.086828836626076,88.49684525096296,60.93564080273611,201.63557756647373,147.34995489837516,-1,62.74488858035883
-72.47,-36.74,1.4336,6.03,7.0,Quillon,51.29870151056889,57.058099388724244,106.65424898409793,102.27999111736655,199.67264146214362,162.09607400428695,-1,92.03132688857971
-72.66,-36.82,2.30044,4.668,7.0,Florida,45.854210200915325,52.217725439801825,105.63483240109622,84.13443813945744,207.88194799278506,160.13700381860718,-1,82.36168491740992
-73.16,-37.09,3.17,5.14,7.0,Lota,32.711269037340415,41.15884234390528,125.34455163301297,42.08842225987281,242.19392991056245,164.98812347315481,-1,59.08676115122742
-71.17,-33.65,2.75053,3.979,6.5,Pomaire,72.53465728626043,76.71570349144345,316.4768628572587,199.88525030393964,199.88525140887646,288.8777176513746,-1,121.37727908272421
-70.93,-33.67,1.8167,2.0,6.5,Talagante,80.67729658539633,84.47480356341373,327.7811521344337,213.9908101207295,213.99081151487178,301.1737014144932,-1,139.39264203181688
-70.98,-33.68,2.61,1.62,6.5,ElMonte,77.7737808966204,81.70095884213542,324.0869453094925,209.8644040113581,209.86440535058446,297.3376464376719,-1,134.84014564450734
-71.21,-33.69,5.69,2.96,6.5,Melipilla,68.93321626738222,73.32075863682036,310.73584479662804,194.14710129063235,194.14710236531957,283.1637666983097,-1,116.43670676154633
-71.73,-33.94,0.88349,4.862,6.5,Rapel,34.601210121541826,42.676291859611936,261.8648493518185,142.49067500000052,142.49067558796892,233.44667477604685,-1,70.4991605404418
-70.74,-34.16,4.00078,1.501,6.5,Rancagua,82.22691015501852,85.9415973723147,299.3570888098599,197.1452339354367,197.1452357599843,277.5144048081124,-1,152.6308421450443
-71.61,-34.4,0.90016,4.391,6.5,Marchigue,43.80215116293191,50.42485826172462,225.68610736920493,115.37879976803369,115.37880067725095,201.40461744100404,-1,76.4586306235841
-70.99,-34.58,0.11667,1.509,6.5,SanFernando,75.39618290492643,79.43265880889479,251.5412587083967,158.70212133088228,158.70212300746323,234.3771546964444,-1,132.0387821016683
-71.89,-34.66,9.51855,5.16,6.5,Paredones,38.250704816510684,45.685284669125906,187.3795634697832,79.73181467846462,79.73181536941308,164.95968540686897,-1,65.76982655266376
-71.22,-34.67,3.73406,4.101,6.5,Nancagua,63.73888909076889,68.45934305787817,229.02662624300464,136.01141921378687,136.0114206576677,212.3430086190936,-1,113.68827017599003
-71.45,-35.38,8.00158,3.204,6.5,Pelarco,70.76672589174564,75.0463803220629,169.27082573810586,120.56091100724112,120.56091211360054,174.858067698537,-1,120.5240241006573
-71.48,-35.55,0.16668,1.912,6.5,SanClemente,73.93048376464658,78.03702311983643,160.06370288425964,126.68081295090192,126.68081394322299,172.89927783937458,-1,126.42217159756504
-71.74,-35.6,0.17,1.61,6.5,SanJavier,59.742375256829355,64.75474071539688,136.24740583734783,111.13669776566466,111.13669844623955,155.2941341398432,-1,108.44052009678549
-71.74,-35.67,8.53502,4.565,6.5,VillaAlegre,61.73912698025254,66.60156744120872,133.99457418374,116.24525158490351,116.2452522333154,156.36802108718308,-1,110.27415882679368
-71.59,-35.85,0.35005,2.612,6.5,Linares,75.27177877496962,79.30962643879394,143.4302271367153,139.56003531932123,139.56003604695346,169.7489734351374,-1,127.65022493192174
-71.68,-35.97,0.38339,3.874,6.5,Longavi,72.40116401057483,76.58967421721059,134.60030468283082,144.15655658286326,144.15655716861633,167.05041287996542,-1,124.62418259260167
-72.7,-36.49,2.86722,7.247,6.5,Coelemu,41.799987548349364,48.69560597515114,73.32957390062735,96.97703895316695,171.59367096295696,142.8046715915984,-1,72.34304386131616
-72.19,-36.5,6.44,8.99,6.5,SanNicolas,59.09010046097701,64.1565116606909,106.36787510482255,134.72365420021154,177.43562435885391,160.9562573014671,-1,102.0182922372978
-72.1,-36.61,0.21,3.13,6.5,Chillan,65.54026116291469,70.15236895662291,119.66989466526101,137.4912579007922,191.15964164086742,170.45301087834508,-1,111.63076144379882
-72.6,-36.64,5.73446,3.814,6.5,Nipas,45.617008359969844,52.00901205230515,91.33274844436951,95.80129618967526,188.07412540641727,152.47291522253954,-1,81.29900552371166
-72.4,-37.03,1.1002,7.921,6.5,Cabrero,57.67094306460422,62.84871313754114,136.4859489555973,103.87216745425282,232.1022452805274,182.6278121196558,-1,102.38870913094858
-73.28,-37.26,0.46674,5.052,6.5,Arauco,30.613854864095458,39.51300383540048,144.3934574787758,43.3796801518516,262.7885948812109,178.1350418456454,-1,55.68104211513892
-72.35,-37.47,8.83508,2.509,6.5,LosAngeles,62.847313694620404,67.629991414848,181.61769937592453,119.57566700633397,280.9430697442128,218.68341182085595,-1,113.9708178012953
-72.7,-37.8,3.38399,9.355,6.5,Angol,48.676079461001976,54.711818441833145,207.2222525014089,117.57480085874528,316.25882976656345,239.60146589282758,-1,97.26541923026241
-70.67,-34.04,0.46674,1.951,6.0,Codegua,85.08367985051532,88.67811814496662,313.1891214408686,209.1210874099503,209.12108926930884,290.44753302193953,-1,160.22971803781718
-70.82,-34.28,1.35025,1.624,6.0,Requinoa,79.79129951422615,83.61024889531723,284.95218284234727,184.7603557940098,184.76035757058878,264.12253336030625,-1,144.3046210099094
-71.31,-34.29,6.58463,5.444,6.0,LasCabras,53.14832940649079,58.726204209363225,252.60152997378526,144.76158094724462,144.76158215970653,229.04906192117843,-1,97.32248531437634
-71.05,-34.7,0.13,1.613,6.0,Chimbarongo,73.72135409141596,77.83870667140954,239.05362029157646,150.2819691202702,150.2819707552234,223.92445485797225,-1,130.33793379184118
-71.12,-34.96,0.059,1.43,6.0,Romeral,74.98006942476934,79.0319547423627,217.4616294354849,140.99978838502093,140.99978995802215,208.3087147044282,-1,132.2205885049168
-71.57,-35.75,0.33338,3.256,6.0,YerbasBuenas,73.90495214874134,78.01297396472405,146.8079732349637,133.28873005829192,133.28873085329775,169.05826786026162,-1,125.97873960489376
-72.67,-36.43,0.86682,5.296,6.0,Trehuaco,41.78717690051872,48.68465117899564,69.96334755413234,103.06242512006644,164.9376252694099,141.0645954918755,-1,72.13077666593063
-72.03,-36.8,0.35005,2.017,6.0,SanIgnacio,72.49917684224431,76.68874223488996,137.52914680720397,138.1825329817244,213.0094307297671,184.1393058327414,-1,124.2845241624155
-72.23,-36.96,1.70032,4.396,6.0,GeneralCruz,64.25874027810303,68.9435968105326,138.4300846756777,118.77040814160618,226.42724738420478,184.89049414035458,-1,112.8991795276027
-72.08,-36.98,5.30104,1.89,6.0,Pemuco,71.30820688844108,75.55731239497642,148.47811724686417,131.7885089301104,231.19941440293795,192.8441525980936,-1,125.73247855466668
-72.44,-37.08,1.08353,7.055,6.0,MonteAguila,55.69462511039847,61.04083008120448,139.5743882420236,100.68606125829062,237.2939602362897,184.5871500936337,-1,100.6014368284348
-72.55,-37.1,1.63364,6.005,6.0,Yumbel,51.2146405153389,56.98286555488685,137.37329736765568,91.46194193496993,238.9406762957557,182.03962072657987,-1,92.84876724966912
-72.02,-37.12,4.05079,8.433,6.0,Yungay,81.31348982926538,85.06412740017393,163.6357648754372,137.48607596332783,247.4706370610418,205.03578933945883,-1,135.50151918843846
-72.7,-37.27,3.63404,5.902,6.0,Laja,46.01176151250564,52.35556390257026,150.5016196453054,83.33176388818971,257.6288163625744,190.38056966407612,-1,86.15466399861484
-73.35,-37.47,2.45047,4.494,6.0,Curanilahue,29.519751190633094,38.67159543857174,167.92171191402872,59.148956591362314,286.81045424035375,198.97284431208746,-1,57.01144727707001
-72.68,-37.5,3.21729,3.913,6.0,Nacimiento,47.529131656487266,53.693959861100566,175.36406953917674,96.67459824306572,283.03521433411515,211.13253742432838,-1,92.22702608434348
-73.67,-37.6,2.83388,5.578,6.0,Lebu,23.10072243490155,34.024532706370366,187.11480779511933,71.16983269056468,308.1861200034475,216.73919364453496,-1,48.434875615674244
-73.46,-37.62,2.80054,4.895,6.0,LosAlamos,27.8446348060894,37.407831126964076,185.54374828328574,72.57313682225835,305.22561664388684,215.46235853031897,-1,52.41668368026116
-73.41,-37.63,2.75053,2.829,6.0,TresPinos,29.41031492585404,38.58744717125084,186.0233613789107,74.15378570884455,305.25560283785035,216.0906299373394,-1,55.46954433384131
-72.58,-37.67,2.66718,3.272,5.5,Renaico,52.96671751032039,58.56191160174713,195.6974609174067,114.82189917505703,301.8829689267196,229.71003892782156,-1,102.4085551207873
-73.4,-37.8,1.78367,4.4,5.5,Canete,29.7922894996192,38.87933455922436,204.52112776106776,92.15246525119483,323.4109406369499,234.18552499586337,-1,59.339827063610755
-72.83,-37.98,4.06746,1.889,5.5,LosSauces,49.67079181014745,55.59864837553147,224.97468436947165,127.15161574695487,336.5631746195583,255.76685642331034,-1,92.44634001923826
-73.23,-38.01,3.65071,4.626,5.5,Contulmo,36.69192922146861,44.388284627052656,226.5878235031599,117.19390785897825,343.5083966032809,256.1904970909617,-1,70.13212761611143
-73.08,-38.02,0.11,1.98,5.5,Puren,39.1965623393365,46.48010218084067,227.66533060763496,121.9675306437012,342.81273634088984,257.6050256854731,-1,76.58156240300917
-72.41,-35.34,2.41713,5.969,9.0,Constitucion,34.12777739402086,42.29338427276969,100.35104991407133,52.5663566332199,52.56635673083141,114.09545255424148,0,54.17825192123553
-71.48,-34.44,0.56676,3.953,8.0,Peralillo,49.499125300316436,55.44584013826611,229.88677522422424,123.19541877228808,123.19541984931416,207.15697992868945,0,77.91115373338567
-71.66,-34.6,1.78367,4.469,8.0,Pumanque,45.89959110408359,52.25757832823936,205.78483682217708,100.9608998813707,100.96090081339558,184.3313699439493,0,70.4694033363377
-71.98,-34.99,1.30024,8.431,8.0,Licanten,40.4080359060451,47.50616870630121,154.51522743046226,64.78665023005455,64.78665087904548,142.04111420536972,0,64.2874520464541
-72.02,-35.08,1.53362,3.939,8.0,Curepto,41.79880428120278,48.694580617120764,144.95534769646883,62.73545503643558,62.73545562573748,136.7834415919404,0,65.13435623072908
-71.66,-35.43,3.59,3.52,8.0,Talca,61.95235874316383,66.79930362149592,149.81323120490222,106.23197651257993,106.23197736327707,159.40248797735524,0,98.53018893815366
-72.32,-35.96,2.80054,6.782,8.0,Cauquenes,46.21656184779914,52.535636390938166,78.40776971944045,117.22988241918557,117.22988250057357,134.07446668728667,0,74.84038066443222
-71.82,-36.15,1.61,3.27,8.0,Parral,66.77755372538013,71.29798883768598,123.49273911930261,153.59803940006708,153.59803979812133,164.5856528688201,0,107.88567629169879
-71.82,-33.95,1.55029,5.383,7.5,Navidad,32.33141283282953,40.85782820707023,256.9176009198937,136.86859313603458,136.86859363330734,228.26713092314205,0,56.637135095425904
-70.96,-34.23,4.127,4.23,7.5,Donihue (*),71.28295045384087,75.53407346721472,279.44443829345556,175.74137736569614,175.74137896161878,257.2655489767977,0,117.1031953826602
-70.94,-34.27,2.39,2.73,7.5,Coinco,73.02366737430555,77.17826257457442,277.6648328865577,175.34826861986076,175.34827025445335,256.07855750990933,0,119.28182730072392
-71.1,-34.3,2.6338,2.941,7.5,Coltauco (*),63.37464295419113,68.12041469962453,264.90040776521073,160.8491622521041,160.849163713109,242.78118048974608,0,105.14240368569094
-71.53,-34.31,3.00058,5.636,7.5,Esperanza,46.11378537192687,52.445241380578224,238.0212523367049,126.89058956774034,126.89059053146886,213.22463607039168,0,72.96869439594509
-71.28,-34.36,2.98391,7.357,7.5,Pichidegua,55.82822007877235,61.162222286164344,248.7083922082956,143.2957090017779,143.29571027807114,226.24966219004932,0,91.05608187433593
-71.55,-34.44,2.30044,4.899,7.5,Poblacion,46.57326610244422,52.84972461339749,225.7222084463849,117.68784820858005,117.68784920449018,202.45745044615734,0,73.418769557238
-71.36,-34.64,0.36672,4.383,7.5,SantaCruz,57.27293892448459,62.48370589350126,221.6671557854197,124.71615756125469,124.71615884340122,203.43707218493398,0,91.41845013617302
-71.28,-34.73,0.41673,2.651,7.5,Chepica,61.283430000447176,66.17915815601756,220.58320981211003,129.25655181425608,129.2565532042533,204.8731730711293,0,100.83174924330037
-71.65,-34.8,4.28417,2.632,7.5,Lolol,48.453281200787956,54.513693050958125,190.38884737071902,95.24140290856475,95.2414039070599,173.85833210796392,0,76.7372084244609
-71.23,-34.98,0.52,3.8,7.5,Curico,69.84351687670923,74.17652541042969,207.86038039746992,131.1004646334362,131.1004660884383,198.98391149426004,0,112.3451170086036
-71.99,-35.24,5.73446,2.439,7.5,Gualleco,44.21557000067401,50.784330125242626,135.3711924974361,71.03095045456024,71.03095102183883,136.77525176871814,0,71.37080119486208
-71.98,-35.32,7.63484,3.795,7.5,Batuco,46.961728075223974,53.19237245353907,130.86953235321306,76.0680325129381,76.06803305683542,137.30358807122292,0,74.50889556564579
-73.03,-36.82,0.70012,9.321,7.5,Concepcion,34.88196130339291,42.904235226561525,96.65689527330143,54.94539910396454,210.7788436592936,150.6543278646283,0,56.65700923647152
-73.1,-36.84,0.66678,10.27,7.5,SanPedrodelaPaz,33.311494227510636,41.637517814122944,98.31319560878983,49.08032158673589,214.07944710990836,150.41857791215176,0,53.559393522629016
-71.84,-33.9,0.79,4.17,7.0,LaBoca,30.68945478333033,39.57101628954467,260.96685151400885,140.47018673408533,140.47018719646167,232.143469757366,0,55.843559309196394
-71.87,-33.96,0.25003,7.494,7.0,Matanzas,32.1112935901499,40.68486129335195,253.8080171801929,133.45840331678681,133.4584037665385,225.06116042122653,0,54.44058648000983
-71.73,-34.12,0.16,2.0,7.0,Litueche,36.54334653090191,44.26554323417434,244.74152824659825,127.19946176117266,127.19946241423811,217.13874997412643,0,59.82092487808595
-70.66,-34.19,3.01,2.57,7.0,Machali,88.42569124625626,91.89139902463677,302.52856621905937,202.22778877555615,202.2277907040376,281.4003587162136,0,145.95436520108345
-71.66,-34.21,3.68405,4.706,7.0,LaEstrella,40.05018223181366,47.20213657148934,239.9022728454789,124.63911067639629,124.6391114455769,213.2956127353269,0,64.23740931655782
-71.4,-34.3,3.1006,4.434,7.0,LasPataguas,50.3730557465116,56.226949003712896,246.3872150130253,137.26009396117226,137.26009507267088,222.36065858297533,0,81.45633653154329
-71.17,-34.38,1.75033,2.099,7.0,Peumo,61.22771548661487,66.12794956826062,254.104893318043,151.20478518549936,151.20478659659506,232.6360453659393,0,100.64735786155869
-70.86,-34.41,4.11747,2.877,7.0,Rengo,79.66734956801629,83.49208102887343,272.69629898064807,175.84456971520808,175.84457148986698,253.43134353154403,0,128.51921334280814
-71.08,-34.44,0.49,4.08,7.0,SanVicenteTagua-tagua,67.64954703049385,72.11669110456063,255.43785474394807,156.00050954846895,156.0005110838446,235.41319241607135,0,109.9334652314513
-71.16,-34.87,2.49,1.97,7.0,Teno,69.66146556989061,74.00512527232615,219.91036716670072,137.81043532401284,137.81043685674737,208.24553518173056,0,115.65745066928497
-71.31,-34.93,1.25023,2.723,7.0,Rauco,64.17469336934931,68.865195127324,204.95757573807114,123.96067355562352,123.96067492859814,194.3484122024404,0,104.10040921089455
-71.81,-34.98,2.86722,3.601,7.0,Hualane,45.82282209969165,52.18958994314289,166.23844695932846,79.46426221221074,79.46426304737055,154.65703042970333,0,73.63450900678943
-71.28,-35.11,0.25003,2.212,7.0,Molina,69.96293154597535,74.28888980591648,196.48711045859923,127.60984804603119,127.60984942822698,191.57481985208005,0,112.66689510070387
-71.27,-35.28,3.54,4.33,7.0,Cumpeo,77.30433835991437,81.24161543092306,188.59811939930404,132.18621858645795,132.1862199292142,189.48105643910165,0,121.46772839550675
-71.81,-35.34,2.9339,4.572,7.0,Pencahue,53.66921584765211,59.19930106034437,142.48643973949342,89.90581932993967,89.9058200552255,148.7810267047326,0,85.03422804028668
-71.58,-35.55,2.13,4.36,7.0,Bobadilla,67.46896988058018,71.94520835605947,151.56179896797445,119.17644227496491,119.1764431563335,165.72145732558016,0,109.60007800113497
-72.27,-35.59,2.90056,3.654,7.0,Empedrado,41.955882505779414,48.82971684775315,93.48931198042493,81.17420470038097,81.17420485991721,125.21421815196548,0,68.47079890215386
-72.52,-35.73,1.91703,2.981,7.0,Chanco,37.90004116713145,45.39272689499754,67.42455203333232,89.33032644299247,89.33032645880377,120.45042453779364,0,59.416463103034985
-71.77,-36.03,0.38339,3.277,7.0,Retiro,68.1711610091894,72.60430466558944,126.68309252686069,144.7538453094793,144.75384578753793,163.40817945733414,0,109.33004284796874
-72.78,-36.13,6.80134,3.892,7.0,Cobquecura,35.680447974949814,43.55610706800758,43.89351964711151,120.71957945782589,132.59823862565506,128.0151490741815,0,57.069829502176376
-72.55,-36.28,2.91723,5.004,7.0,Quirihue,44.46551699908568,51.002092806348244,67.55246459967603,121.70460931831482,148.69334494894372,138.28040268343926,0,68.09841187186281
-72.4,-36.39,2.57,3.13,7.0,Ninhue,50.09052745637457,55.97398023226276,84.61312129743568,124.60706128274647,162.03646879365905,147.59524912346384,0,77.80043905167904
-71.96,-36.42,0.34,1.63,7.0,SanCarlos,65.54100362406493,70.14069120111782,119.8985481285373,156.85439110184902,175.1263993585737,168.07659259733708,0,105.86334258996877
-72.95,-36.62,2.68385,2.439,7.0,Tome,35.82623811758618,43.67604197576834,76.84012077522645,71.58356286148985,187.87760019846064,143.00839574466372,0,57.818286052939804
-72.29,-36.74,1.12,3.67,7.0,Bulnes,59.436428460126045,64.47362118516999,116.65327878213617,117.34085191706282,201.6043734297473,169.09335856658973,0,93.76827377260875
-73.0,-36.74,2.6005,3.156,7.0,Penco,36.32666148617275,44.086828836626076,88.49684525096296,60.93564080273611,201.63557756647373,147.34995489837516,0,57.06790193815175
-72.47,-36.74,1.4336,6.03,7.0,Quillon,51.29870151056889,57.058099388724244,106.65424898409793,102.27999111736655,199.67264146214362,162.09607400428695,0,83.6710790165354
-72.66,-36.82,2.30044,4.668,7.0,Florida,45.854210200915325,52.217725439801825,105.63483240109622,84.13443813945744,207.88194799278506,160.13700381860718,0,74.69494377003835
-73.16,-37.09,3.17,5.14,7.0,Lota,32.711269037340415,41.15884234390528,125.34455163301297,42.08842225987281,242.19392991056245,164.98812347315481,0,53.0423836220276
-71.17,-33.65,2.75053,3.979,6.5,Pomaire,72.53465728626043,76.71570349144345,316.4768628572587,199.88525030393964,199.88525140887646,288.8777176513746,0,105.41426095621864
-70.93,-33.67,1.8167,2.0,6.5,Talagante,80.67729658539633,84.47480356341373,327.7811521344337,213.9908101207295,213.99081151487178,301.1737014144932,0,121.49794958395
-70.98,-33.68,2.61,1.62,6.5,ElMonte,77.7737808966204,81.70095884213542,324.0869453094925,209.8644040113581,209.86440535058446,297.3376464376719,0,117.58471396940516
-71.21,-33.69,5.69,2.96,6.5,Melipilla,68.93321626738222,73.32075863682036,310.73584479662804,194.14710129063235,194.14710236531957,283.1637666983097,0,101.1379920966298
-71.73,-33.94,0.88349,4.862,6.5,Rapel,34.601210121541826,42.676291859611936,261.8648493518185,142.49067500000052,142.49067558796892,233.44667477604685,0,61.482137301983286
