Year,Month,Day,Magnitude,Location,Longitude,Latitude,Intensity,Hypocenter_Lat,Hypocenter_Lon,Hypocenter_Depth_km,Vs30_estimated,NERHP_class,Rrup [km],R [km],Rhyp [km],Rasp [km],Rasp max [km],Rasp pond slip [km],Period,Rp [km]
1751,5.0,24.0,8.5,Arauco,-73.3163,-37.2479,8,-36.83,-73.03,35.49,-999.0,-999,28.67428954051488,35.53547163271981,63.7119427709504,58.739409567688774,58.73940974715933,58.739409567688774,-1,53.10282127930791
1751,5.0,24.0,8.5,Bucalemu Salt,-72.0164,-34.6529,7,-36.83,-73.03,35.49,-999.0,-999,55.03806449564586,58.90452789840037,260.7948542553125,274.62115540275903,274.62115567837867,274.62115540275903,-1,115.25765257905843
1751,5.0,24.0,8.5,Cahuil,-71.9826,-34.5096,7,-36.83,-73.03,35.49,-999.0,-999,67.69908250842256,70.87820988137864,276.6444477961021,290.5614639615465,290.56146424330245,290.5614639615465,-1,135.13793523008755
1751,5.0,24.0,8.5,Cauquenes,-72.3283,-35.9663,8,-36.83,-73.03,35.49,388.0,-999,45.72900449254452,50.31596879108769,120.0310086219272,131.54192590586405,131.5419261437688,131.54192590586405,-1,73.69302654297428
1751,5.0,24.0,8.5,Chillán,-72.1039,-36.6083,7,-36.83,-73.03,35.49,-999.0,-999,61.15212650944604,64.65398239964686,93.32727369898514,94.24394280050035,94.24394339770713,94.24394280050035,-1,89.31628910409947
1751,5.0,24.0,8.5,Colcura,-73.1512,-37.1117,8,-36.83,-73.03,35.49,-999.0,-999,32.0280609645069,38.292970016084205,48.51125670419167,45.17444836817606,45.174448440414125,45.17444836817606,-1,55.96841620683027
1751,5.0,24.0,8.5,Conuco,-72.7942,-36.6364,8,-36.83,-73.03,35.49,-999.0,-999,39.360112561436836,44.60687530365169,46.5265986233117,56.29619536740356,56.296195399779805,56.29619536740356,-1,63.233650004540095
1751,5.0,24.0,8.5,Curico,-71.2445,-34.9834,7,-36.83,-73.03,35.49,-999.0,-999,67.03876224078964,70.24777936905676,263.08249319867406,272.54629050020117,272.54629141550765,272.54629050020117,-1,126.97641939055359
1751,5.0,24.0,8.5,Curimon,-70.6874,-32.7843,6,-36.83,-73.03,35.49,-999.0,-999,263.6159786079566,264.45025816008797,498.59372446120824,510.9616629035072,510.96166385922777,510.9616629035072,-1,407.4192041290161
1751,5.0,24.0,8.5,Guambali,-72.4048,-36.6527,7,-36.83,-73.03,35.49,-999.0,-999,51.264242305122146,55.39474165139529,69.02558911571593,71.97392937885878,71.97392970104404,71.97392937885878,-1,77.12517315635975
1751,5.0,24.0,8.5,Guaraculen,-71.7487,-35.6601,7,-36.83,-73.03,35.49,-999.0,-999,59.526299856137605,63.1184223350787,177.12745618204377,186.05785760446344,186.05785824637047,186.05785760446344,-1,93.70687926720957
1751,5.0,24.0,8.5,Imperial,-73.4028,-38.7648,7,-36.83,-73.03,35.49,-999.0,-999,34.20703053881537,40.13322565892256,220.1233347851868,205.47089986582807,205.470899937756,205.47089986582807,-1,67.213527638289
1751,5.0,24.0,8.5,Fragatas,-73.0235,-36.7464,8,-36.83,-73.03,35.49,-999.0,-999,33.98710189564051,39.94593795082554,36.687148221411654,47.36355490375548,47.363559587699115,47.36355490375548,-1,56.73194296709844
1751,5.0,24.0,8.5,La Compañía,-70.6829,-34.0811,6,-36.83,-73.03,35.49,-999.0,-999,139.5299276828093,141.09980716739676,373.69908532207694,383.77765489137045,383.777656092809,383.77765489137045,-1,256.02471788161733
1751,5.0,24.0,8.5,Las Vegas de Itata,-72.8607,-36.4091,8,-36.83,-73.03,35.49,-999.0,-999,35.94965836760888,41.62850946472075,60.58449430791738,74.98344661629264,74.98344662404322,74.98344661629264,-1,59.889836236487746
1751,5.0,24.0,8.5,Los Angeles,-72.3554,-37.4752,7,-36.83,-73.03,35.49,-999.0,-999,58.08142085508388,61.757641730007194,99.88942064347462,85.02353443819798,85.02353474929191,85.02353443819798,-1,87.86063504130095
1751,5.0,24.0,8.5,Manco,-72.7198,-36.766,8,-36.83,-73.03,35.49,-999.0,-999,42.31731470999967,47.236744042870995,45.56755601146097,49.916817263600336,49.91681734420162,49.916817263600336,-1,66.48203966025505
1751,5.0,24.0,8.5,Melipilla,-71.2194,-33.6888,7,-36.83,-73.03,35.49,540.0,-999,160.55473048833886,161.92089533376995,387.0944648153435,399.6550049545766,399.6550056390316,399.6550049545766,-1,271.7277085314614
1751,5.0,24.0,8.5,Nacimiento,-72.6779,-37.5041,7,-36.83,-73.03,35.49,-999.0,-999,47.04619720403154,51.51601241232845,88.51170871388359,73.54818348613523,73.54818356007368,73.54818348613523,-1,74.7925069179045
1751,5.0,24.0,8.5,Nicolas Chavez,-71.3934,-35.5024,7,-36.83,-73.03,35.49,-999.0,-999,69.4461594174149,72.5487692613428,211.283577489609,219.03514134395002,219.03514226808838,219.03514134395002,-1,111.98626451770726
1751,5.0,24.0,8.5,Nuñoa,-70.5956,-33.463,6,-36.83,-73.03,35.49,-999.0,-999,198.3854773854566,199.49273796547598,435.85491041369175,446.9728194570951,446.9728206031026,446.9728194570951,-1,332.2590690976827
1751,5.0,24.0,8.5,Penco,-72.995,-36.7387,9,-36.83,-73.03,35.49,-999.0,-999,34.74874923875014,40.59594114149951,37.03992199631006,47.54177866618988,47.54178053755685,47.54177866618988,-1,57.52600607154184
1751,5.0,24.0,8.5,Purema,,,8,-36.83,-73.03,35.49,-999.0,-999,,,,,,,-1,
