Longitud,Latitud,Frecuencia,Amplitud,MSK,Lugar,Rhf,Rhf_max,Rhf_pond
-71.89,-34.66,9.51855,5.16,6.5,Paredones,39.95591293178275,39.95591294917294,144.744009969044
-71.22,-34.67,3.73406,4.101,6.5,Nancagua,73.71911103527907,73.71911164295362,181.55215956350997
-71.45,-35.38,8.00158,3.204,6.5,Pelarco,104.2236953984565,104.22369557866453,153.24477397454353
-71.48,-35.55,0.16668,1.912,6.5,SanClemente,119.6133416822081,119.6133418175931,152.23627309153315
-71.74,-35.6,0.17,1.61,6.5,SanJavier,104.84495724641113,119.54622366141571,139.21628439938016
-71.74,-35.67,8.53502,4.565,6.5,VillaAlegre,102.69101185167305,126.85492405700808,140.0260026203823
-71.59,-35.85,0.35005,2.612,6.5,Linares,112.58131635617428,147.8054461055138,150.6053702858
-71.68,-35.97,0.38339,3.874,6.5,Longavi,105.0726464392852,159.24724662093652,148.88693203256233
-72.7,-36.49,2.86722,7.247,6.5,Coelemu,52.15251693446586,226.54192916945692,142.4158619016481
-72.19,-36.5,6.44,8.99,6.5,SanNicolas,71.48155701206638,217.18535985959764,149.70181976109663
-72.1,-36.61,0.21,3.13,6.5,Chillan,73.94871732422574,228.2989794878199,158.46314627314277
-72.6,-36.64,5.73446,3.814,6.5,Nipas,47.17805193067981,239.5114023079563,150.72963424222021
-72.4,-37.03,1.1002,7.921,6.5,Cabrero,62.59265302172328,277.35993109505137,179.7703193773193
-73.28,-37.26,0.46674,5.052,6.5,Arauco,70.32055091678461,323.95983353219816,208.46052863526393
-72.35,-37.47,8.83508,2.509,6.5,LosAngeles,59.453031062840076,324.58086827061595,218.37417712392246
-72.7,-37.8,3.38399,9.355,6.5,Angol,62.5634160687536,365.6057142219498,249.21400072174714
-70.67,-34.04,0.46674,1.951,6.0,Codegua,133.9719460469408,133.9719471831259,255.24986272842753
-70.82,-34.28,1.35025,1.624,6.0,Requinoa,111.631477320597,111.63147835861346,229.52788001220623
-71.31,-34.29,6.58463,5.444,6.0,LasCabras,74.31884911395501,74.31884957479465,197.46353540079176
-71.05,-34.7,0.13,1.613,6.0,Chimbarongo,87.59231566622297,87.59231646699315,191.96931143143937
-71.12,-34.96,0.059,1.43,6.0,Romeral,90.78142131743203,90.78142195912734,178.8893902398427
-71.57,-35.75,0.33338,3.256,6.0,YerbasBuenas,115.3337297980765,137.74025565527268,149.77130845881504
-72.67,-36.43,0.86682,5.296,6.0,Trehuaco,56.23545271973866,219.48088282572354,139.25783880375454
-72.03,-36.8,0.35005,2.017,6.0,SanIgnacio,77.81984347952047,248.63567778180703,172.43537404226115
-72.23,-36.96,1.70032,4.396,6.0,GeneralCruz,68.13413707417374,267.6087111861044,177.79745115400374
-72.08,-36.98,5.30104,1.89,6.0,Pemuco,78.50487402730785,268.60141600139264,183.35505068888068
-72.44,-37.08,1.08353,7.055,6.0,MonteAguila,64.02103475142492,283.38318064657955,183.17306730408387
-72.55,-37.1,1.63364,6.005,6.0,Yumbel,61.91906151453684,287.42908215615813,183.75459754730073
-72.02,-37.12,4.05079,8.433,6.0,Yungay,87.73544677589243,283.6821970073667,195.83426870140104
-72.7,-37.27,3.63404,5.902,6.0,Laja,51.69649688126279,308.6390852413675,197.91883790269532
-73.35,-37.47,2.45047,4.494,6.0,Curanilahue,71.94250966187596,347.67201093138635,228.9886890244405
-72.68,-37.5,3.21729,3.913,6.0,Nacimiento,48.77153822255009,332.89276568198636,219.0065110047413
-73.67,-37.6,2.83388,5.578,6.0,Lebu,96.43921890494565,372.3694977754726,252.70094066698144
-73.46,-37.62,2.80054,4.895,6.0,LosAlamos,81.80748830996085,366.6790443065274,246.43867967886902
-73.41,-37.63,2.75053,2.829,6.0,TresPinos,78.73164599267322,365.9918519778142,245.64940899636343
-72.58,-37.67,2.66718,3.272,5.5,Renaico,56.26853524686838,349.507780986125,235.8568626713976
-73.4,-37.8,1.78367,4.4,5.5,Canete,85.08914766827307,383.0799230402585,261.5587298646931
-72.83,-37.98,4.06746,1.889,5.5,LosSauces,77.13850631726145,387.4450794329092,268.86503284529067
-73.23,-38.01,3.65071,4.626,5.5,Contulmo,90.17471735220992,399.9417781268597,278.16596283672135
-73.08,-38.02,0.11,1.98,5.5,Puren,85.54268919000302,397.17256757916095,276.2491403548448
