,lat,lon,z
0,-36.1,-72.4,0.6605747718856997
1,-36.1,-72.5,0.6089799008719258
2,-36.1,-72.6,0.5409931798312759
3,-36.2,-72.8,0.5080904581916043
4,-34.9,-72.3,0.5265503812209114
5,-34.8,-72.3,0.6533180444986505
6,-34.8,-72.2,0.7359571897484772
7,-34.8,-72.3,0.8079947890271882
8,-34.8,-72.2,0.781114586381794
9,-34.6,-72.0,0.6628641848239384
10,-34.6,-71.9,0.906091392558431
11,-34.5,-71.9,1.0
12,-34.5,-71.9,0.9164273532834722
13,-34.5,-71.8,0.841864628363333
14,-34.5,-71.9,0.7122857909957889
