Year,Month,Day,Magnitude,Location,Longitude,Latitude,Intensity,Period,Rp [km],Rrup [km],R [km]
1751,5.0,24.0,9.1,Vichuquen,-72.0395,-34.8504,7.0,-1.0,198.97020094495352,41.88751428489235,51.36591744246829
1751,5.0,24.0,9.1,Virquen,-72.1797,-36.1028,8.0,-1.0,120.17863303586199,52.351438519881405,60.20437473174462
1751,5.0,24.0,9.1,Yumbel,-72.5639,-37.1046,8.0,-1.0,105.35302010928575,48.80311271982839,57.14575603562948
1751,5.0,24.0,9.1,Puchacay,-72.6641,-36.8297,8.0,-1.0,99.80523909308289,44.27052537726705,53.327038535049496
1751,5.0,24.0,9.1,Concepción,-73.0492,-36.8205,8.0,-1.0,94.4227597211562,33.507515065496555,44.79561571854869
1751,5.0,24.0,9.1,Itata,-72.7038,-36.4933,8.0,-1.0,99.48757990002288,40.976687778659546,50.62590802197185
1751,5.0,24.0,9.1,Rere,-72.7272,-37.135,8.0,-1.0,101.31597708876423,43.78684734503386,52.926190323475076
1751,5.0,24.0,9.1,Laja,-72.3554,-37.4752,7.0,-1.0,121.24253153527516,58.08142097622286,65.24833395847459
1751,5.0,24.0,9.1,Chillán,-72.1039,-36.6083,7.0,-1.0,120.18803362779721,61.15212657538812,67.9961484676279
1751,5.0,24.0,9.1,Perquelauquen,-71.9597,-36.4284,7.0,-1.0,127.88827217559086,64.13142179770944,70.68757234150235
1751,5.0,24.0,9.1,Talca,-71.6485,-35.4265,8.0,-1.0,170.69684639391616,58.76482546020932,65.8574090980527
1751,5.0,24.0,9.1,Maule,-71.2445,-34.9834,7.0,-1.0,229.19258506545634,67.03876234729303,73.33545717315903
1751,5.0,24.0,9.1,Cauquenes,-72.3283,-35.9663,8.0,-1.0,117.4252398633719,45.72900453206026,54.543885791467
1751,5.0,24.0,9.1,Arauco,-73.3163,-37.2479,8.0,-1.0,99.54605721416905,28.674289569592172,41.30506632436547
1835,2.0,20.0,8.3,Ancud,-73.821,-41.8704,5.0,-1.0,477.47172241612424,319.6835733042646,320.22943053090336
1835,2.0,20.0,8.3,Arauco,-73.3163,-37.2479,8.0,-1.0,90.2765303141846,28.774601310939353,34.311496880303366
1835,2.0,20.0,8.3,Calbuco,-73.1314,-41.7707,5.0,-1.0,467.4128121304052,310.7500597914494,311.3115815352088
1835,2.0,20.0,8.3,Caucague,,,5.0,-1.0,,,
1835,2.0,20.0,8.3,Cauquenes,-72.3283,-35.9663,8.0,-1.0,161.77167162362753,46.66017697398329,50.26403538124446
1835,2.0,20.0,8.3,Caylin,-73.6139,-41.8161,5.0,-1.0,470.7869051041096,314.1100857371528,314.66561156148765
1835,2.0,20.0,8.3,Chillán,-72.1039,-36.6083,8.0,-1.0,151.83779011500155,63.06598718285624,65.77704673297322
1835,2.0,20.0,8.3,Chiloe,-73.7735,-42.4743,5.0,-1.0,546.3949745203705,386.67254756349155,387.1239597038708
1835,2.0,20.0,8.3,Coelemu,-72.7038,-36.4933,8.0,-1.0,110.68204318428978,40.93766315966988,45.00214886578359
1835,2.0,20.0,8.3,Coinco,-70.9508,-34.27,6.0,-1.0,405.03490146788033,234.05473412269603,234.7997438303745
1835,2.0,20.0,8.3,Colcura,-73.1512,-37.1117,8.0,-1.0,92.66076241697391,32.083369681171135,37.13009221187373
1835,2.0,20.0,8.3,Coliumo,-72.9578,-36.5518,8.0,-1.0,97.88162913229463,34.45402143892429,39.19669285638024
1835,2.0,20.0,8.3,Concepción,-73.0492,-36.8205,8.0,-1.0,93.75706534775439,33.39594061940486,38.26996194691563
1835,2.0,20.0,8.3,Concepcion Bay,-73.0808,-36.7123,8.0,-1.0,92.70455985665981,32.20114861204733,37.23190982878413
1835,2.0,20.0,8.3,Constitucion,-72.4137,-35.3305,7.0,-1.0,222.55353457475158,86.30173167197796,88.30226513032177
1835,2.0,20.0,8.3,Copiapo,-70.3324,-27.3676,5.0,-1.0,1148.9093649148936,976.6535516756212,976.8323608164139
1835,2.0,20.0,8.3,Coquimbo,-71.3382,-29.9598,5.0,-1.0,844.2333696414513,677.91221192489,678.1697930566213
1835,2.0,20.0,8.3,Coyanco,-72.5813,-36.7514,8.0,-1.0,115.65828029750854,46.35746512750689,49.98315426832897
1835,2.0,20.0,8.3,Coyhuin,,,5.0,-1.0,,,
1835,2.0,20.0,8.3,Curico,-71.2445,-34.9834,6.0,-1.0,322.3582774760837,157.0179126758915,158.12629774537012
1835,2.0,20.0,8.3,Dichato,-72.9374,-36.549,8.0,-1.0,98.70761953691368,34.95650484272995,39.63910150827535
1835,2.0,20.0,8.3,Florida,-72.6641,-36.8297,8.0,-1.0,110.75918488597455,44.24290285654919,48.028487283461295
1835,2.0,20.0,8.3,Guaguague,-71.022,-34.3551,6.0,-1.0,393.09958122362394,222.85404561731247,223.6363717859122
1835,2.0,20.0,8.3,Hualqui,-72.9356,-36.9743,8.0,-1.0,98.52425805428173,36.99796039507749,41.450575520241905
1835,2.0,20.0,8.3,Huasco,-71.1928,-28.47,5.0,-1.0,1010.0648097522777,843.1452980367743,843.352414319829
1835,2.0,20.0,8.3,Reyes Island,-73.0749,-36.7382,8.0,-1.0,92.85624990927869,32.442341221039484,37.44070834620938
1835,2.0,20.0,8.3,Itata River,-72.8607,-36.4091,8.0,-1.0,104.51574686950484,35.89010184150485,40.46480628592141
1835,2.0,20.0,8.3,Larque-Bulnes,-72.2965,-36.745,8.0,-1.0,135.2965684377146,55.731446648586385,58.78175978233201
1835,2.0,20.0,8.3,Linares,-71.5944,-35.8477,7.0,-1.0,228.04533622917398,83.80757815682041,85.86624071237262
1835,2.0,20.0,8.3,Lirquen,-72.9762,-36.7116,8.0,-1.0,96.17901138488104,34.7768570226819,39.48076648115655
1835,2.0,20.0,8.3,Los Angeles,-72.3554,-37.4752,8.0,-1.0,134.7903371567091,58.38050682613397,61.29914122432572
1835,2.0,20.0,8.3,Malloa,-70.9436,-34.4421,6.0,-1.0,389.40691473502665,218.97237950134837,219.7685239565623
1835,2.0,20.0,8.3,Mellipulli,,,5.0,-1.0,,,
1835,2.0,20.0,8.3,Mendoza,-68.8347,-32.9106,5.0,-1.0,649.7339819637687,471.2500804207174,471.62054602624784
1835,2.0,20.0,8.3,Mocha,-73.9081,-38.3968,7.0,-1.0,95.60490303119253,20.91357877728625,28.047796969411213
1835,2.0,20.0,8.3,Niebla,-73.395,-39.8703,6.0,-1.0,241.5562008119467,103.03525890216721,104.71659713054174
1835,2.0,20.0,8.3,Panquegue,-70.9196,-34.4101,6.0,-1.0,393.73082248049724,223.0344814150132,223.81617688993668
1835,2.0,20.0,8.3,Parral,-71.8264,-36.1432,8.0,-1.0,191.03456399562154,68.59501646989375,71.09555135216654
1835,2.0,20.0,8.3,Pelequen,-70.8965,-34.4681,6.0,-1.0,389.7557708587872,219.1860842520759,219.98145528048872
1835,2.0,20.0,8.3,Pemuco,-72.1,-36.981,7.0,-1.0,149.39335565584386,67.87161844322657,70.39785314671526
