"","Rhyp","Rasp_max","Rasp","Rasp_pond"
"1985",0.60704224827362,0.572532064513385,0.594484272918325,0.586986835962943
"2010",0.326263222666717,0.380072926020103,0.229425680188316,0.503083844644729
"2015",-0.933305470940336,-0.95260499053348,-0.823909953106669,-1.09010238270336
