"","MSK64","Rhyp","Rp","M","Rasp","Rasp_max","Rasp_pond","EVENT","residuals_Rhyp","residuals_Rasp","residuals_Rasp_max","residuals_Rasp_pond"
"1",6,265.574552733948,137.001750177231,7.9,191.406286418595,191.406286729293,240.378538124561,"1985",-0.69621445029059,-0.755879265264355,-0.767852349833031,-0.531473373082377
"2",5.5,250.800567644511,128.520409204074,7.9,179.660363821834,179.660364303352,228.233559013691,"1985",-1.23150396206636,-1.2959414271712,-1.32077887966178,-1.09009826336968
"3",6.5,227.160481759516,86.3364667078738,7.9,149.227437104598,149.227437177714,197.936269196074,"1985",-0.292542738487146,-0.413348471569512,-0.475886525348435,-0.251146451770381
"4",7.5,209.199618499533,107.923188980918,7.9,145.238841590673,145.238842357336,192.017157643847,"1985",0.656673791523656,0.569513334873207,0.501472036342807,0.714523165692088
"5",7,202.739087792161,99.4910560967022,7.9,137.118329578602,137.118330239619,184.237402674948,"1985",0.13733336875395,0.0331169352767997,-0.0466116187743628,0.167755299996488
"6",7.5,198.62453599688,106.941108384622,7.9,138.379056002625,138.379056899222,184.061505602356,"1985",0.624691988442414,0.538906693894866,0.461037291775079,0.666675210569584
"7",7,182.938078423496,82.5856648873267,7.9,115.706995228161,115.706995747243,162.962376228614,"1985",0.0739697196426565,-0.0742866356505356,-0.188503572076581,0.0290041431393355
"8",7,180.169010594096,83.1289763894389,7.9,114.131042473657,114.131043035021,161.077481256653,"1985",0.0645659486630255,-0.0829618886171595,-0.199964536893283,0.0158490137707883
"9",7.5,175.731558525367,72.8501160206559,7.9,105.714658720933,105.714659097538,153.436555165931,"1985",0.549190696152182,0.368579171837713,0.236015862679849,0.46089582065169
"10",7.5,173.814819183612,72.2482835014872,7.9,104.003982972208,104.003983352349,151.65860891636,"1985",0.542428973359252,0.358258823702958,0.222381545573267,0.44771660023931
"11",7,163.82801681299,58.6550101404817,7.9,89.6969953951467,89.6969955755157,137.826253842504,"1985",0.00594598780041622,-0.235359761343666,-0.401298923375446,-0.160427448012832
"12",7,178.685129215664,104.476036292056,7.9,125.541188148125,125.541189217805,168.856701573632,"1985",0.0594670256158949,-0.0226842890053014,-0.120331182230078,0.0691813683745925
"13",7,156.617859077519,64.2598852292589,7.9,86.7023586664852,86.7023589919245,134.067170488501,"1985",-0.0218037026729911,-0.256840189586725,-0.429676934762155,-0.191696335271176
"14",7,175.394271881019,104.258849684176,7.9,123.586790852291,123.586791946718,166.431206773053,"1985",0.0480062065379023,-0.0326098099536454,-0.133443888911046,0.0528210581701245
"15",7,175.425929580914,105.229220211273,7.9,124.198643193887,124.198644308931,166.856375244178,"1985",0.0481174794678303,-0.0294857037535809,-0.129316600243325,0.0557060438115684
"16",7,172.339190066997,104.883178097665,7.9,122.320246850504,122.320247983595,164.54074826445,"1985",0.0371723696290003,-0.0391262021849785,-0.142052760811483,0.0399034478486948
"17",7.5,172.095968419673,104.783473058822,7.9,122.127605616245,122.127606749149,164.328034195601,"1985",0.536301627454579,0.459876747285675,0.356630025575637,0.538440680941217
"18",7,166.779910251325,100.432577494013,7.9,116.478851217054,116.478852297578,158.708642950517,"1985",0.0169561498895643,-0.0700807623265849,-0.182947145926759,-0.000903703041455373
