"","Rasp_max","Rhf_max","Rhf","Rhf_pond"
"c1",13.0255302817648,9.84288157319267,11.8306819501088,12.603786308909
"c2",-1.20274633526484,-0.592519191977875,-1.11457833193865,-1.1261388604049
"c3",0.593922072968767,0.628783744013069,0.418313275235993,0.685367855816824
"c4",-0.569580590928925,-0.360156887311074,-0.489321471684672,-0.504404356588365
"se_c1",0.600427435791281,0.442428640730895,0.564664567522887,0.616395905949839
"se_c2",0.116913044334051,0.0873242327443384,0.126283451804645,0.120627935980923
"se_c3",0.177172871115138,0.211890520986845,0.190670701598519,0.186898873880582
"se_c4",0.175404425833274,0.206859661088741,0.188056665047222,0.183360567387276
"sigma",0.467996530859134,0.557870846743352,0.50418654686835,0.491281721407401
"AIC",137.846628031685,172.979947020824,152.743717845374,147.557998180127
